cluster,supplier,base_cost,shipping_cost
bags & pouches,printify,8.50,4.50
bags & pouches,printway,7.20,5.00
bags & pouches,burgerprints,7.80,4.80
apparel,printify,11.00,4.75
apparel,burgerprints,9.50,5.00
apparel,printway,10.20,4.60
apparel,pgprint,9.80,4.90
jewelry,shineon,9.00,5.00
drinkware,printify,9.00,5.50
drinkware,printway,8.40,6.00
wall art & prints,printify,5.00,4.00
home & textile,printify,12.00,6.00
home & textile,printway,11.00,6.50
headwear,printify,9.50,4.25
stickers & paper,printify,2.00,1.50
