product,size,price_us_epacket_usd,price_intl_usd,price_uk_usd,price_ca_usd,material,shipping
TSHIRT,S,16.43,22.81,19.05,21.25,35% cotton/65% polyester (team note - VERIFY with supplier),US ePacket 7-12 business days - INCLUDED in price
TSHIRT,M,16.99,23.09,19.99,21.49,35% cotton/65% polyester (team note - VERIFY with supplier),US ePacket 7-12 business days - INCLUDED in price
TSHIRT,L,17.86,23.60,21.25,22.00,35% cotton/65% polyester (team note - VERIFY with supplier),US ePacket 7-12 business days - INCLUDED in price
TSHIRT,XL,17.86,23.60,21.25,22.00,35% cotton/65% polyester (team note - VERIFY with supplier),US ePacket 7-12 business days - INCLUDED in price
TSHIRT,2XL,18.90,24.53,22.37,22.89,35% cotton/65% polyester (team note - VERIFY with supplier),US ePacket 7-12 business days - INCLUDED in price
TSHIRT,3XL,19.44,26.25,22.84,24.53,35% cotton/65% polyester (team note - VERIFY with supplier),US ePacket 7-12 business days - INCLUDED in price
TSHIRT,4XL,19.44,26.25,22.84,24.53,35% cotton/65% polyester (team note - VERIFY with supplier),US ePacket 7-12 business days - INCLUDED in price
TSHIRT,5XL,21.19,27.31,23.20,25.55,35% cotton/65% polyester (team note - VERIFY with supplier),US ePacket 7-12 business days - INCLUDED in price
SWEATSHIRT,S,22.69,28.81,24.70,27.05,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
SWEATSHIRT,M,23.23,32.46,25.68,31.49,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
SWEATSHIRT,L,23.76,32.99,26.23,35.96,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
SWEATSHIRT,XL,24.30,37.17,26.77,35.96,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
SWEATSHIRT,2XL,25.84,39.34,28.17,38.09,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
SWEATSHIRT,3XL,26.38,40.13,28.48,38.84,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
SWEATSHIRT,4XL,26.93,40.72,29.26,39.39,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
SWEATSHIRT,5XL,27.47,34.23,29.62,39.90,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
HOODIE,S,25.84,39.34,28.17,38.09,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
HOODIE,M,26.38,40.13,28.48,38.84,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
HOODIE,L,26.93,40.72,29.26,39.39,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
HOODIE,XL,27.47,34.23,29.62,39.90,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
HOODIE,2XL,29.01,42.77,31.28,40.90,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
HOODIE,3XL,30.11,43.87,31.56,40.94,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
HOODIE,4XL,30.11,43.87,31.56,40.94,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
HOODIE,5XL,31.71,44.66,33.09,42.23,65% cotton/35% polyester,US ePacket 7-12 business days - INCLUDED in price
WASH CAP,one size,13.40,19.11,15.26,17.54,100% cotton,US ePacket 7-12 business days - INCLUDED in price
