sku,product_title,variant_title,base_cost_usd,type,shape,metal,engravings,artwork_min_w,artwork_min_h
SO-7624500,Dog Tag Necklace - Engraving,Buyer Upload Dog Tag & Ball Chain (Steel),9.50,dog-chain,dogtag,stainless,0,1096,2000
SO-7624501,Heart Necklace - Engraving,Snake Chain (Silver),9.50,necklace,heart,stainless,0,2000,1959
SO-7624502,Circle Necklace - Engraving,Snake Chain (Silver),9.50,necklace,circle,stainless,0,2000,2000
SO-7624503,Heart Bangle - Luxury BU No MC,Bangle (Silver),9.50,bangle,heart,stainless,0,2000,1959
SO-7624504,Circle Bangle - Luxury BU No MC,Bangle (Silver),9.50,bangle,circle,stainless,0,2000,2000
SO-7624505,Forever Love Necklace with On Demand Message Card (Partner),Forever Love with POD MC (Partner),11.00,other,other,other,0,1000,1000
SO-7624506,Stainless Cross Necklace w/ MC (Partner),Stainless Crafted Cross w/ POD MC,12.50,necklace,other,stainless,0,1000,1000
SO-7624507,Forever Love Necklace with On Demand Message Card (Partner),Gold Forever Love (Partner),16.00,other,other,gold,0,1000,1000
SO-7624509,Stainless Cross Necklace w/ MC (Partner),Stainless Cross w/ Luxury Box & MC,20.50,other,other,stainless,0,1000,1000
SO-7624510,Faith Cross Necklace + MC (API/CSV),Faith Cross Necklace,8.91,other,other,other,0,1000,1000
SO-7624511,Dog Tag Necklace - Engraving,Buyer Upload Dog Tag & Ball Chain (Steel),12.50,dog-chain,dogtag,stainless,2,1096,2000
SO-7624512,Dog Tag Necklace - Engraving,Buyer Upload Dog Tag & Ball Chain (Gold),14.50,dog-chain,dogtag,gold,0,1096,2000
SO-7624513,Dog Tag Necklace - Engraving,Buyer Upload Dog Tag & Ball Chain (Gold),17.50,dog-chain,dogtag,gold,2,1096,2000
SO-7624514,Forever Love Necklace (Rhodium ONLY) + Luxury Box (PARTNER),Forever Love Necklace w/ POD MC,11.00,other,other,other,0,1000,1000
SO-7624516,Graphic Heart Keychain (PARTNER),Graphic Heart Keychain (Silver),7.50,other,heart,stainless,0,2000,1959
SO-7624517,Faith Cross Necklace + MC (API/CSV),Faith Cross with Mahogany Box,21.40,other,other,other,0,1000,1000
SO-7624518,Forever Love Necklace (Rhodium ONLY) + Luxury Box (PARTNER),Forever Love with MC & Luxury Box,19.50,other,other,other,0,1000,1000
SO-7624519,Heart Necklace - Engraving,Snake Chain (Silver),12.50,necklace,heart,stainless,2,2000,1959
SO-7624520,Heart Necklace - Engraving,Snake Chain (Gold),14.50,necklace,heart,gold,0,2000,1959
SO-7624521,Eternal Hope Necklace [Partner],Eternal Hope Necklace (Standard Box + MC),12.00,other,other,other,0,1000,1000
SO-7624522,Heart Necklace - Engraving,Snake Chain (Gold),17.50,necklace,heart,gold,2,2000,1959
SO-7624523,Dog Tag with Swivel Keychain (PARTNER),Dog Tag with Swivel Keychain (Steel),7.50,other,dogtag,stainless,0,1096,2000
SO-7624524,Everlasting Love Necklace - (Partner),Everlasting Love with Luxury Box & MC,118.00,other,other,other,0,1000,1000
SO-7624525,Heart Bangle - Luxury BU No MC,Bangle (Gold),14.50,bangle,heart,gold,0,2000,1959
SO-7624526,Heart Bangle - Luxury BU No MC,Bangle (Silver),12.50,bangle,heart,stainless,2,2000,1959
SO-7624527,Heart Bangle - Luxury BU No MC,Bangle (Gold),17.50,bangle,heart,gold,2,2000,1959
SO-7624528,Circle Necklace - Engraving,Snake Chain (Gold),14.50,necklace,circle,gold,0,2000,2000
SO-7624529,Circle Necklace - Engraving,Snake Chain (Silver),12.50,necklace,circle,stainless,2,2000,2000
SO-7624530,Circle Necklace - Engraving,Snake Chain (Gold),17.50,necklace,circle,gold,2,2000,2000
SO-7624531,Forever Love Necklace - Gold ONLY - Luxury Box (Partner),Forever Love Necklace (Gold ONLY) + Standard Box (Partner),16.00,other,other,gold,0,1000,1000
SO-7624532,Love Knot Earring & Necklace Set [PARTNER],Love Knot Necklace & Earring Set,21.50,other,other,other,0,1000,1000
SO-7624533,Circle Bangle - Luxury BU No MC,Bangle (Gold),14.50,bangle,circle,gold,0,2000,2000
SO-7624534,Circle Bangle - Luxury BU No MC,Bangle (Silver),12.50,bangle,circle,stainless,2,2000,2000
SO-7624535,Circle Bangle - Luxury BU No MC,Bangle (Gold),17.50,bangle,circle,gold,2,2000,2000
SO-7624536,Graphic Circle Keychain (PARTNER),Circle Pendant with Keychain (Silver),7.50,other,circle,stainless,0,2000,2000
SO-7624537,Eternal Hope Necklace [Partner],Eternal Hope Necklace with Luxury Box & MC,20.50,other,other,other,0,1000,1000
SO-7624538,CZ Cross Necklace - [PARTNER],CZ Cross Necklace,15.30,other,other,other,0,1000,1000
SO-7624540,Forever Love Necklace - Gold ONLY - Luxury Box (Partner),Forever Love Necklace (Gold ONLY) + Luxury Box (Partner),24.50,other,other,gold,0,1000,1000
SO-7624541,Dog Tag with Swivel Keychain (PARTNER),Dog Tag with Swivel Keychain (Steel),10.50,other,dogtag,stainless,2,1096,2000
SO-7624542,Dog Tag with Swivel Keychain (PARTNER),Dog Tag with Swivel Keychain (Gold),9.50,other,dogtag,gold,0,1096,2000
SO-7624543,Dog Tag with Swivel Keychain (PARTNER),Dog Tag with Swivel Keychain (Gold),12.50,other,dogtag,gold,2,1096,2000
SO-7624544,Love Knot Earring & Necklace Set [PARTNER],Love Knot Necklace & Earring Set + Mahogany Style Luxury Box,30.00,other,other,other,0,1000,1000
SO-7624545,Lucky In Love [PARTNER],Lucky in Love Necklace,12.77,other,other,other,0,1000,1000
SO-7624546,[DISCONTINUED] (API) Perfect Pair Necklace,Perfect Pair Necklace - Standard Box,6.50,other,other,other,0,1000,1000
SO-7624547,[Partner] Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),17.00,other,other,gold,0,1000,1000
SO-7624548,CZ Cross Necklace - [PARTNER],CZ Cross Necklace w/ Wood Box,27.80,other,other,other,0,1000,1000
SO-7624549,[Partner] Love Knot Necklace - Yellow & White Gold Variants,Love Knot Necklace (Gold),16.00,other,other,gold,0,1000,1000
SO-7624550,Forever Linked Necklace (PARTNER),Forever Linked Necklace (Gold),26.50,other,other,gold,0,1000,1000
